N;Linear;Binary
10000;1.393;0.143
15000;2.170;0.117
20000;2.561;0.121
25000;2.645;0.124
30000;3.009;0.127
35000;4.715;0.106
40000;3.447;0.080
45000;3.865;0.078
50000;4.027;0.082
55000;4.592;0.081
